Date;Close;High;Low;Open;Volume
10/08/2023;42.364.871.978.759.700;43.550.225.675.456.900;4.181.217.231.360.560;4.213.699.574.373.500;492705000
11/08/2023;40.832.706.451.416.000;4.199.507.385.757.670;4.061.682.471.129.040;41.728.217.445.224.700;533085000
14/08/2023;43.729.122.161.865.200;43.776.097.398.299.700;40.289.002.945.920.600;40.463.906.685.181.600;690286000
15/08/2023;43.916.019.439.697.200;4.524.329.764.404.110;4.368.614.541.412.470;4.453.568.383.483.930;676512000
16/08/2023;43.462.276.458.740.200;44.650.626.981.324.400;43.382.318.272.344.000;4.449.571.276.095.210;527451000
17/08/2023;4.332.034.683.227.530;4.403.795.349.007.860;4.297.753.170.604.980;4.394.600.464.449.850;452395000
18/08/2023;4.327.537.155.151.360;4.355.421.863.038.220;4.163.726.601.370.560;42.611.732.431.819.600;583768000
21/08/2023;46.941.375.732.421.800;4.703.932.184.051.730;44.197.874.362.477.500;4.446.972.532.960.600;692573000
22/08/2023;456.430.778.503.418;4.816.070.421.705.830;45.308.261.577.730.600;48.108.730.641.843.200;755293000
23/08/2023;47.090.293.884.277.300;47.174.247.686.520.700;4.518.333.397.410.900;45.840.975.904.298.500;779046000
24/08/2023;47.137.264.251.708.900;5.023.857.177.595.230;4.713.326.863.032.970;501.885.998.204.007;1156044000
25/08/2023;45.992.897.033.691.400;4.777.892.090.852.690;44.999.436.003.373.100;469.863.542.513.935;925341000
28/08/2023;46.809.444.427.490.200;469.543.657.684.175;44.863.508.175.320.200;4.645.663.639.493.680;685192000
29/08/2023;4.875.738.525.390.620;4.905.422.410.380.390;46.365.689.250.102.400;46.640.540.743.084.700;701397000
30/08/2023;4.923.712.158.203.120;4.989.975.805.077.240;48.398.578.637.523.000;4.901.724.039.363.040;735206000
31/08/2023;4.932.807.540.893.550;4.971.686.314.070.130;4.893.129.262.084.640;4.935.306.329.598.510;528570000
01/09/2023;4.848.253.631.591.790;49.772.832.417.582.000;4.811.573.594.167.940;4.973.485.494.683.880;463830000
05/09/2023;4.852.151.107.788.080;4.882.434.715.495.610;4.783.388.674.600.470;4.819.668.764.519.060;382653000
06/09/2023;4.703.919.982.910.150;48.526.509.476.419.600;4.655.842.365.882.440;48.418.561.612.125.400;468670000
07/09/2023;4.621.957.778.930.660;4.632.253.071.023.720;4.513.108.161.869.610;4.550.390.990.685.550;433330000
08/09/2023;4.555.088.424.682.610;46.584.405.572.056.900;4.525.002.501.733.810;45.920.715.564.296.000;473069000
11/09/2023;45.157.073.974.609.300;46.141.614.498.404.300;44.291.473.995.947.100;4.612.662.205.679.810;473966000
12/09/2023;4.484.920.883.178.710;4.565.183.817.230.260;44.510.365.202.730.800;447.172.700.232.729;349256000
13/09/2023;4.546.392.822.265.620;4.590.872.175.707.660;44.482.380.908.447.500;4.457.933.609.209.520;398355000
14/09/2023;4.555.988.693.237.300;45.965.697.093.021.300;45.110.094.621.925.900;4.592.871.548.306.050;370097000
15/09/2023;43.879.661.560.058.500;45.577.871.869.694;4.378.770.131.863.030;4.531.999.198.709.530;506831000
18/09/2023;4.394.563.293.457.030;44.221.506.057.325.200;4.198.054.405.465.200;42.728.198.651.654.000;500271000
19/09/2023;4.349.983.596.801.750;4.394.562.846.497.060;4.298.207.442.166.150;4.381.269.066.855.040;373064000
20/09/2023;4.221.943.283.081.050;4.388.266.351.133.670;42.203.441.401.322.400;43.579.802.461.208.800;367108000
21/09/2023;4.099.799.728.393.550;4.208.049.577.030.540;4.096.101.567.472.070;41.563.736.977.268.600;450736000
22/09/2023;41.590.721.130.371.000;4.209.548.821.247.710;4.121.189.511.865.890;41.552.736.723.974.900;479236000
25/09/2023;4.220.243.835.449.210;42.516.292.052.357.200;41.157.920.528.062.900;41.571.730.182.940.100;419091000
26/09/2023;4.189.158.630.371.090;4.280.016.565.537.030;4.163.570.436.324.990;41.981.544.768.615.700;402282000
27/09/2023;4.244.832.229.614.250;42.852.138.257.331.000;41.609.714.131.697.600;4.231.038.955.896.750;444935000
28/09/2023;4.306.903.839.111.320;4.342.587.144.415.840;42.095.490.602.814.600;42.440.328.178.113.600;424663000
29/09/2023;43.478.843.688.964.800;4.412.354.526.206.470;43.286.931.317.069.000;4.380.669.081.351.220;397830000
02/10/2023;4.476.125.717.163.080;4.515.407.286.536.190;4.384.068.237.191.840;4.400.960.280.506.540;433298000
03/10/2023;434.968.376.159.668;4.510.909.311.668.890;4.322.596.325.710.490;447.872.398.839.657;470850000
04/10/2023;44.020.599.365.234.300;4.412.255.330.566.710;4.327.194.577.354.400;4.372.173.808.377.060;361821000
05/10/2023;4.466.729.736.328.120;44.879.200.950.918.700;43.867.668.737.435.200;4.402.959.243.795.160;393483000
06/10/2023;4.574.079.895.019.530;45.767.786.867.817.500;44.005.603.198.940.900;4.417.252.564.280.470;434436000
09/10/2023;4.525.202.941.894.530;45.583.876.376.417.200;4.434.744.981.385.020;44.821.229.292.060.800;409675000
10/10/2023;4.577.677.917.480.460;4.623.756.409.967.200;450.671.090.785.999;45.289.006.333.726.800;368582000
11/10/2023;4.678.432.083.129.880;4.683.729.768.668.540;46.028.670.465.862.800;4.617.460.275.218.860;378137000
12/10/2023;4.692.325.210.571.280;47.586.945.967.380.100;4.630.853.914.386.970;4.675.533.066.493.340;481325000
13/10/2023;4.543.993.377.685.540;47.094.169.510.667.100;4.525.901.788.884.390;4.693.823.975.092.530;474115000
16/10/2023;46.073.646.545.410.100;46.203.583.574.312.100;4.489.119.212.930.560;4.504.212.315.084.610;375099000
17/10/2023;43.917.640.686.035.100;4.473.326.447.683.000;42.460.316.079.497.100;4.397.961.223.234.800;812333000
